Phase,Task ID,Task Name,Category,Description,AWS Source Service,Azure Target Service,Priority,Estimated Effort,Dependencies,Labels,Acceptance Criteria
2 - Service Mapping,2.7,Map CloudWatch Logging to Azure Monitor,Service Mapping,"Map AWS CloudWatch log groups (MongoDB backup logs) to Azure Monitor Log Analytics workspace and container insights for AKS monitoring and diagnostics.",AWS CloudWatch,Azure Monitor + Log Analytics,Medium,1 day,1.2,phase:service-mapping;task:research,"Documented mapping of CloudWatch logging to Azure Monitor with Log Analytics workspace design and AKS container insights plan"
2 - Service Mapping,2.8,Map Terraform State Backend to Azure,Service Mapping,"Map Terraform S3 backend with DynamoDB state locking to Azure Storage Account backend with blob state storage and state locking.",AWS S3 + DynamoDB (TF state),Azure Storage Account (TF state),High,1 day,1.2,phase:service-mapping;task:research,"Documented mapping of Terraform backend from S3/DynamoDB to Azure Storage Account with state locking configuration"
3 - IaC Development,3.1,Create Azure Terraform Provider Configuration,IaC Development,"Create Azure Terraform provider configuration with azurerm provider, required versions, and feature blocks. Configure backend for Azure Storage Account state management.",hashicorp/aws provider,hashicorp/azurerm provider,High,1 day,2.8,phase:iac-development;task:development,"Azure Terraform provider configuration with azurerm provider, version constraints, and Azure Storage Account backend configured"
3 - IaC Development,3.2,Create Azure Resource Group Module,IaC Development,"Create Terraform module for Azure Resource Group with standard tagging inputs for billing codes (billing_code, cost_center) and IS identifiers (information_system_id, system_owner, data_classification). Support dev and prod environment tiers.",N/A,azurerm_resource_group,High,1 day,3.1,phase:iac-development;task:development,"Resource group module with parameterized environment tiers (dev/prod), standard billing tags, and IS identifier tags"
3 - IaC Development,3.3,Create Azure Virtual Network Module,IaC Development,"Create Terraform module for Azure VNet with subnets (AKS subnet, services subnet, app gateway subnet), NSGs, NAT Gateway, and service endpoints. Support dev/prod sizing via variables.",AWS VPC module,azurerm_virtual_network,High,2 days,3.2,phase:iac-development;task:development,"VNet module with configurable subnets, NSGs, NAT Gateway, service endpoints, and environment-tier sizing for dev and prod"
3 - IaC Development,3.4,Create Azure AKS Cluster Module,IaC Development,"Create Terraform module for AKS cluster with system and user node pools, managed identity, RBAC enabled, Azure CNI networking, container insights, and ingress controller integration. Support dev (1 node) and prod (2-3 nodes) tiers.",AWS EKS module,azurerm_kubernetes_cluster,High,3 days,3.3,phase:iac-development;task:development,"AKS module with configurable node pools, managed identity, RBAC, networking, monitoring, and dev/prod tier sizing"
3 - IaC Development,3.5,Create Azure Cosmos DB for MongoDB Module,IaC Development,"Create Terraform module for Cosmos DB account with MongoDB API (4.0 compatibility), database, and collection. Configure throughput (RU/s) for dev (400 RU/s) and prod (1000 RU/s) tiers. Include connection string output for app configuration.",AWS MongoDB EC2 module,azurerm_cosmosdb_account (MongoDB),High,2 days,3.2,phase:iac-development;task:development,"Cosmos DB module with MongoDB 4.0 API, configurable throughput per environment tier, connection string output, and proper access controls"
3 - IaC Development,3.6,Create Azure Blob Storage Module,IaC Development,"Create Terraform module for Azure Storage Account with blob container for MongoDB backups. Configure lifecycle management, access tier, and optional public read access equivalent to S3 bucket policy.",AWS S3 backup module,azurerm_storage_account + blob,Medium,1 day,3.2,phase:iac-development;task:development,"Storage module with blob container, lifecycle management, access controls, and public URL capability for backup files"
3 - IaC Development,3.7,Create Azure Application Gateway / Ingress Module,IaC Development,"Create Terraform module for Application Gateway or configure AKS with nginx-ingress controller for external application access. Support HTTP/HTTPS and health check configuration.",AWS ALB module,azurerm_application_gateway or AKS ingress,Medium,2 days,3.3;3.4,phase:iac-development;task:development,"Ingress/App Gateway module with HTTP/HTTPS support, health checks, and integration with AKS cluster"
3 - IaC Development,3.8,Create Azure Monitor and Log Analytics Module,IaC Development,"Create Terraform module for Log Analytics workspace and diagnostic settings for AKS container insights, Cosmos DB metrics, and application logging.",AWS CloudWatch,azurerm_log_analytics_workspace,Medium,1 day,3.2,phase:iac-development;task:development,"Monitor module with Log Analytics workspace, AKS container insights, and diagnostic settings for key resources"
3 - IaC Development,3.9,Create Root Module with Standard Tag Inputs,IaC Development,"Create root main.tf that composes all Azure modules with standard variable inputs for billing_code, cost_center, information_system_id, system_owner, data_classification, environment (dev/prod), and project_name. Wire all module outputs.",All AWS modules,All Azure modules,High,2 days,3.2-3.8,phase:iac-development;task:development,"Root module composing all Azure modules with standardized tag inputs for billing and IS tracking, supporting dev and prod environments"
3 - IaC Development,3.10,Create Environment-Specific tfvars Files,IaC Development,"Create terraform.tfvars templates for dev and prod environments with appropriate sizing, throughput, and configuration values. Include billing code and IS identifier placeholders.",AWS tfvars,Azure tfvars (dev + prod),Medium,1 day,3.9,phase:iac-development;task:development,"Environment-specific tfvars files for dev and prod with documented variable placeholders for billing and IS identifiers"
4 - CI/CD Updates,4.1,Update Terraform Plan Workflow for Azure,CI/CD Updates,"Update terraform-plan.yml to replace AWS OIDC credentials with Azure OIDC (azure/login action), update environment variables from AWS_REGION to AZURE_LOCATION, and configure Azure-specific Terraform init with Azure Storage backend.",terraform-plan.yml (AWS),terraform-plan.yml (Azure),High,1 day,3.1,phase:cicd-updates;task:development,"Terraform plan workflow updated with Azure login action, Azure environment variables, and Azure Storage backend init"
4 - CI/CD Updates,4.2,Update Terraform Apply Workflow for Azure,CI/CD Updates,"Update terraform-apply.yml to replace AWS credential configuration with Azure OIDC login, update EKS-specific kubectl config to AKS (az aks get-credentials), replace AWS-specific deployment steps with Azure equivalents.",terraform-apply.yml (AWS),terraform-apply.yml (Azure),High,2 days,3.9;4.1,phase:cicd-updates;task:development,"Terraform apply workflow updated with Azure login, AKS kubectl configuration, and Azure-specific deployment steps"
4 - CI/CD Updates,4.3,Verify Build and Publish Workflow Compatibility,CI/CD Updates,"Verify that build-and-publish.yml (Docker image to GHCR) requires no changes since it uses GitHub Container Registry independent of cloud provider. Document any required updates.",build-and-publish.yml,build-and-publish.yml (no change expected),Low,0.5 days,1.3,phase:cicd-updates;task:validation,"Build and publish workflow verified as cloud-agnostic or updated if any Azure-specific changes are needed"
4 - CI/CD Updates,4.4,Update Cost Analysis Workflow for Azure,CI/CD Updates,"Update cost-analysis.yml to replace AWS cost estimation with Azure cost estimation using Azure Pricing Calculator references and Azure-specific resource cost components (AKS, Cosmos DB, Blob Storage, App Gateway).",cost-analysis.yml (AWS),cost-analysis.yml (Azure),Low,1 day,3.9,phase:cicd-updates;task:development,"Cost analysis workflow updated with Azure pricing references and resource cost components"
4 - CI/CD Updates,4.5,Configure Azure OIDC Federation for GitHub Actions,CI/CD Updates,"Create documentation and configuration for Azure AD app registration with federated credentials for GitHub Actions OIDC authentication. Define required secrets (AZURE_CLIENT_ID, AZURE_TENANT_ID, AZURE_SUBSCRIPTION_ID).",AWS OIDC (AWS_ROLE_ARN),Azure OIDC (AZURE_CLIENT_ID etc.),High,1 day,None,phase:cicd-updates;task:configuration,"Azure OIDC federation documented with app registration steps, federated credential configuration, and required GitHub secrets listed"
4 - CI/CD Updates,4.6,Update Kubernetes Manifests for AKS Compatibility,CI/CD Updates,"Review and update K8s manifests (deployment, service, ingress, configmap, secret, rbac, namespace) for AKS compatibility. Replace AWS-specific annotations (ALB ingress class, AWS LB controller) with Azure equivalents.",K8s manifests (AWS-specific),K8s manifests (Azure-compatible),Medium,1 day,2.2;2.5,phase:cicd-updates;task:development,"Kubernetes manifests updated to remove AWS-specific annotations and add Azure/AKS-compatible ingress and service annotations"
5 - Validation,5.1,Validate Terraform Plan for Dev Environment,Validation,"Run terraform init and terraform plan for the dev environment tier to validate all Azure modules compile, pass validation, and produce a correct execution plan without errors.",N/A,N/A,High,1 day,3.9;3.10,phase:validation;task:testing,"Terraform plan succeeds for dev environment with no errors and expected resource creation count"
5 - Validation,5.2,Validate Terraform Plan for Prod Environment,Validation,"Run terraform init and terraform plan for the prod environment tier to validate all Azure modules with production-tier sizing and configuration.",N/A,N/A,High,1 day,3.9;3.10,phase:validation;task:testing,"Terraform plan succeeds for prod environment with production-tier resource sizing and configuration"
5 - Validation,5.3,Validate GitHub Actions Workflow Syntax,Validation,"Run workflow linting and validation on all updated GitHub Actions workflows to ensure correct YAML syntax, valid action references, and proper secret/variable references.",N/A,N/A,Medium,0.5 days,4.1-4.4,phase:validation;task:testing,"All updated GitHub Actions workflows pass syntax validation and linting checks"
5 - Validation,5.4,Create Migration Validation Checklist,Validation,"Create a comprehensive validation checklist covering infrastructure deployment, application connectivity, database access, storage access, monitoring, and CI/CD pipeline execution for both dev and prod environments.",N/A,N/A,Medium,1 day,5.1-5.3,phase:validation;task:documentation,"Migration validation checklist created with all critical checkpoints for infrastructure, application, and CI/CD verification"
5 - Validation,5.5,Document Rollback Strategy,Validation,"Document rollback procedures in case Azure deployment fails or application issues are detected. Include steps to revert to AWS infrastructure and data recovery procedures.",N/A,N/A,Medium,1 day,3.9,phase:validation;task:documentation,"Rollback strategy documented with step-by-step procedures for reverting to AWS infrastructure"
